id,year_month,healthboard,department_type,attendance_greater8hrs,attendance_greater12hrs,diff_between_target_met_agg,diff_between_target_met_ep
7515,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,8,NA
7516,2013 Jul,NHS Highland,Emergency Department,2,1,27,27
7517,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,8,NA
7518,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7519,2013 Jul,NHS Highland,Emergency Department,1,0,21,21
7520,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7521,2013 Jul,NHS Highland,Emergency Department,1,0,58,58
7522,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7523,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7524,2013 Jul,NHS Highland,Emergency Department,1,0,40,40
7525,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7526,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7527,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7528,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7529,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
7530,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7531,2013 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
7532,2013 Jul,NHS Lanarkshire,Emergency Department,7,0,253,253
7533,2013 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7534,2013 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7535,2013 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7536,2013 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7537,2013 Jul,NHS Lanarkshire,Emergency Department,2,0,238,238
7538,2013 Jul,NHS Lanarkshire,Emergency Department,2,0,238,238
7539,2013 Jul,NHS Lanarkshire,Emergency Department,22,1,415,415
7540,2013 Jul,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
7541,2013 Jul,NHS Lothian,Minor Injury Unit or Other,3,2,82,82
7542,2013 Jul,NHS Lothian,Emergency Department,0,0,82,82
7543,2013 Jul,NHS Lothian,Emergency Department,43,0,823,823
7544,2013 Jul,NHS Lothian,Emergency Department,0,0,30,30
7545,2013 Jul,NHS Orkney,Minor Injury Unit or Other,0,0,6,6
7546,2013 Jul,NHS Shetland,Emergency Department,0,0,2,2
7547,2013 Jul,NHS Tayside,Emergency Department,0,0,37,37
7548,2013 Jul,NHS Tayside,Emergency Department,0,0,37,37
7549,2013 Jul,NHS Tayside,Emergency Department,0,0,28,28
7550,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7551,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
7552,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7553,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
7554,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
7555,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7556,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7557,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7558,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7559,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7560,2013 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7561,2013 Jul,NHS Tayside,Minor Injury Unit or Other,1,0,1,1
7562,2013 Jul,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
7563,2013 Jul,NHS Western Isles,Emergency Department,0,0,8,8
7564,2013 Jul,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
7565,2013 Aug,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7566,2013 Aug,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7567,2013 Aug,NHS Ayrshire and Arran,Emergency Department,14,1,414,414
7568,2013 Aug,NHS Ayrshire and Arran,Emergency Department,3,0,194,194
7569,2013 Aug,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7570,2013 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7571,2013 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7572,2013 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7573,2013 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7574,2013 Aug,NHS Borders,Emergency Department,1,0,55,55
7575,2013 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7576,2013 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7577,2013 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7578,2013 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,0,0,0,0
7579,2013 Aug,NHS Dumfries and Galloway,Emergency Department,0,0,22,22
7580,2013 Aug,NHS Dumfries and Galloway,Emergency Department,0,0,207,207
7581,2013 Aug,NHS Fife,Emergency Department,7,0,199,199
7582,2013 Aug,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
7583,2013 Aug,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
7584,2013 Aug,NHS Fife,Minor Injury Unit or Other,0,0,0,0
7585,2013 Aug,NHS Forth Valley,Minor Injury Unit or Other,0,0,0,0
7586,2013 Aug,NHS Forth Valley,Emergency Department,13,0,483,483
7587,2013 Aug,NHS Grampian,Emergency Department,4,1,251,251
7588,2013 Aug,NHS Grampian,Emergency Department,0,0,24,24
7589,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7590,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7591,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7592,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
7593,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,3,NA
7594,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,3,NA
7595,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7596,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,9,NA
7597,2013 Aug,NHS Grampian,Emergency Department,5,1,122,122
7598,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7599,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7600,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7601,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7602,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7603,2013 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7604,2013 Aug,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,22,22
7605,2013 Aug,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,22,22
7606,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,1,0,149,149
7607,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,1,0,149,149
7608,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,5,0,410,410
7609,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,5,0,410,410
7610,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,7,0,588,588
7611,2013 Aug,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
7612,2013 Aug,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,1,1
7613,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,13,0,365,365
7614,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,4,0,242,242
7615,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,0,0,48,48
7616,2013 Aug,NHS Greater Glasgow and Clyde,Emergency Department,27,0,653,653
7617,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
7618,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
7619,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,18,NA
7620,2013 Aug,NHS Highland,Emergency Department,0,0,18,18
7621,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,20,NA
7622,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
7623,2013 Aug,NHS Highland,Emergency Department,1,0,27,27
7624,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7625,2013 Aug,NHS Highland,Emergency Department,1,1,112,112
7626,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7627,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
7628,2013 Aug,NHS Highland,Emergency Department,1,0,16,16
7629,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7630,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7631,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7632,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7633,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
7634,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7635,2013 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
7636,2013 Aug,NHS Lanarkshire,Emergency Department,25,0,547,547
7637,2013 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7638,2013 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7639,2013 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7640,2013 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7641,2013 Aug,NHS Lanarkshire,Emergency Department,3,0,207,207
7642,2013 Aug,NHS Lanarkshire,Emergency Department,3,0,207,207
7643,2013 Aug,NHS Lanarkshire,Emergency Department,10,0,381,381
7644,2013 Aug,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
7645,2013 Aug,NHS Lothian,Minor Injury Unit or Other,15,0,220,220
7646,2013 Aug,NHS Lothian,Emergency Department,0,0,105,105
7647,2013 Aug,NHS Lothian,Emergency Department,40,2,687,687
7648,2013 Aug,NHS Lothian,Emergency Department,0,0,34,34
7649,2013 Aug,NHS Orkney,Minor Injury Unit or Other,0,0,5,5
7650,2013 Aug,NHS Shetland,Emergency Department,0,0,5,5
7651,2013 Aug,NHS Tayside,Emergency Department,0,0,72,72
7652,2013 Aug,NHS Tayside,Emergency Department,0,0,72,72
7653,2013 Aug,NHS Tayside,Emergency Department,0,0,32,32
7654,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7655,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7656,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7657,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,2,2
7658,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,2,2
7659,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7660,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7661,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7662,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7663,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7664,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7665,2013 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7666,2013 Aug,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
7667,2013 Aug,NHS Western Isles,Emergency Department,0,0,19,19
7668,2013 Aug,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
7669,2013 Sep,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7670,2013 Sep,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7671,2013 Sep,NHS Ayrshire and Arran,Emergency Department,15,0,341,341
7672,2013 Sep,NHS Ayrshire and Arran,Emergency Department,22,2,340,340
7673,2013 Sep,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7674,2013 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7675,2013 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7676,2013 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7677,2013 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7678,2013 Sep,NHS Borders,Emergency Department,1,0,44,44
7679,2013 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7680,2013 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7681,2013 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7682,2013 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,0,0,0,0
7683,2013 Sep,NHS Dumfries and Galloway,Emergency Department,2,0,36,36
7684,2013 Sep,NHS Dumfries and Galloway,Emergency Department,2,0,213,213
7685,2013 Sep,NHS Fife,Emergency Department,17,0,291,291
7686,2013 Sep,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
7687,2013 Sep,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
7688,2013 Sep,NHS Fife,Minor Injury Unit or Other,0,0,0,0
7689,2013 Sep,NHS Forth Valley,Minor Injury Unit or Other,0,0,0,0
7690,2013 Sep,NHS Forth Valley,Emergency Department,49,10,426,426
7691,2013 Sep,NHS Grampian,Emergency Department,11,0,259,259
7692,2013 Sep,NHS Grampian,Emergency Department,1,0,17,17
7693,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7694,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7695,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7696,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,3,NA
7697,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
7698,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7699,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7700,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
7701,2013 Sep,NHS Grampian,Emergency Department,14,0,176,176
7702,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7703,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7704,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7705,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7706,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7707,2013 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7708,2013 Sep,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,15,15
7709,2013 Sep,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,15,15
7710,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,11,0,141,141
7711,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,11,0,141,141
7712,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,8,0,326,326
7713,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,8,0,326,326
7714,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,1,0,449,449
7715,2013 Sep,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,2,2
7716,2013 Sep,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,1,1
7717,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,24,0,322,322
7718,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,0,0,193,193
7719,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,0,0,51,51
7720,2013 Sep,NHS Greater Glasgow and Clyde,Emergency Department,45,0,632,632
7721,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
7722,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
7723,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
7724,2013 Sep,NHS Highland,Emergency Department,0,0,7,7
7725,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,11,NA
7726,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
7727,2013 Sep,NHS Highland,Emergency Department,1,0,23,23
7728,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7729,2013 Sep,NHS Highland,Emergency Department,2,0,96,96
7730,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7731,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7732,2013 Sep,NHS Highland,Emergency Department,0,0,31,31
7733,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7734,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7735,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7736,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
7737,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,14,NA
7738,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7739,2013 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
7740,2013 Sep,NHS Lanarkshire,Emergency Department,23,0,586,586
7741,2013 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7742,2013 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7743,2013 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7744,2013 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7745,2013 Sep,NHS Lanarkshire,Emergency Department,37,8,292,292
7746,2013 Sep,NHS Lanarkshire,Emergency Department,37,8,292,292
7747,2013 Sep,NHS Lanarkshire,Emergency Department,11,1,327,327
7748,2013 Sep,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
7749,2013 Sep,NHS Lothian,Minor Injury Unit or Other,28,0,261,261
7750,2013 Sep,NHS Lothian,Emergency Department,8,1,116,116
7751,2013 Sep,NHS Lothian,Emergency Department,104,5,851,851
7752,2013 Sep,NHS Lothian,Emergency Department,1,0,30,30
7753,2013 Sep,NHS Orkney,Minor Injury Unit or Other,0,0,1,1
7754,2013 Sep,NHS Shetland,Emergency Department,1,0,10,10
7755,2013 Sep,NHS Tayside,Emergency Department,0,0,70,70
7756,2013 Sep,NHS Tayside,Emergency Department,0,0,70,70
7757,2013 Sep,NHS Tayside,Emergency Department,1,0,26,26
7758,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7759,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7760,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7761,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7762,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7763,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7764,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7765,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
7766,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7767,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
7768,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
7769,2013 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
7770,2013 Sep,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
7771,2013 Sep,NHS Western Isles,Emergency Department,0,0,13,13
7772,2013 Sep,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
7773,2013 Oct,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7774,2013 Oct,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7775,2013 Oct,NHS Ayrshire and Arran,Emergency Department,3,0,233,233
7776,2013 Oct,NHS Ayrshire and Arran,Emergency Department,10,0,342,342
7777,2013 Oct,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
7778,2013 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7779,2013 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7780,2013 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7781,2013 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7782,2013 Oct,NHS Borders,Emergency Department,1,0,47,47
7783,2013 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7784,2013 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7785,2013 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
7786,2013 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,0,0,0,0
7787,2013 Oct,NHS Dumfries and Galloway,Emergency Department,0,0,12,12
7788,2013 Oct,NHS Dumfries and Galloway,Emergency Department,1,0,154,154
7789,2013 Oct,NHS Fife,Emergency Department,25,5,332,332
7790,2013 Oct,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
7791,2013 Oct,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
7792,2013 Oct,NHS Fife,Minor Injury Unit or Other,0,0,0,0
7793,2013 Oct,NHS Forth Valley,Minor Injury Unit or Other,0,0,0,0
7794,2013 Oct,NHS Forth Valley,Emergency Department,17,0,404,404
7795,2013 Oct,NHS Grampian,Emergency Department,12,1,229,229
7796,2013 Oct,NHS Grampian,Emergency Department,0,0,11,11
7797,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7798,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7799,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7800,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
7801,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
7802,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
7803,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7804,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,5,NA
7805,2013 Oct,NHS Grampian,Emergency Department,12,1,125,125
7806,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7807,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7808,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7809,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7810,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7811,2013 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
7812,2013 Oct,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,1,42,42
7813,2013 Oct,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,1,42,42
7814,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,2,0,121,121
7815,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,2,0,121,121
7816,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,11,0,512,512
7817,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,11,0,512,512
7818,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,7,0,705,705
7819,2013 Oct,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
7820,2013 Oct,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,1,1
7821,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,41,2,467,467
7822,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,3,1,271,271
7823,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,2,0,68,68
7824,2013 Oct,NHS Greater Glasgow and Clyde,Emergency Department,49,0,805,805
7825,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
7826,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7827,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,12,NA
7828,2013 Oct,NHS Highland,Emergency Department,0,0,12,12
7829,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,13,NA
7830,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
7831,2013 Oct,NHS Highland,Emergency Department,0,0,14,14
7832,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7833,2013 Oct,NHS Highland,Emergency Department,3,0,102,102
7834,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
7835,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7836,2013 Oct,NHS Highland,Emergency Department,0,0,23,23
7837,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7838,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7839,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7840,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7841,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,10,NA
7842,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
7843,2013 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
7844,2013 Oct,NHS Lanarkshire,Emergency Department,22,1,583,583
7845,2013 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7846,2013 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7847,2013 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7848,2013 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
7849,2013 Oct,NHS Lanarkshire,Emergency Department,38,9,394,394
7850,2013 Oct,NHS Lanarkshire,Emergency Department,38,9,394,394
7851,2013 Oct,NHS Lanarkshire,Emergency Department,49,12,547,547
7852,2013 Oct,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
7853,2013 Oct,NHS Lothian,Minor Injury Unit or Other,35,2,333,333
7854,2013 Oct,NHS Lothian,Emergency Department,4,0,130,130
7855,2013 Oct,NHS Lothian,Emergency Department,62,8,850,850
7856,2013 Oct,NHS Lothian,Emergency Department,2,0,39,39
7857,2013 Oct,NHS Orkney,Minor Injury Unit or Other,1,1,5,5
7858,2013 Oct,NHS Shetland,Emergency Department,0,0,6,6
7859,2013 Oct,NHS Tayside,Emergency Department,0,0,44,44
7860,2013 Oct,NHS Tayside,Emergency Department,0,0,44,44
7861,2013 Oct,NHS Tayside,Emergency Department,2,1,26,26
7862,2013 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
